TARGET,ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
1,582,3,3,0,4,0.0,5,117,27,0,0,0,5.0,19410.0,21147.0,16.0,2,1,3.0,3.0,0.9178999999999999,0.20829999999999999,2,3,7,0.20829999999999999,4,4,0.0
1,662,15,9,0,3,1.0,3,14,14,0,0,1,1.0,16776.0,20971.0,1.0,0,0,1.0,1.0,0.7999999999999999,0.0,0,0,0,1.0,12,0,1.0
1,805,0,0,0,1,5.0,1,354,7,0,2,10,19.0,16903.0,47593.0,21.0,1,1,4.0,5.0,0.35519999999999996,0.6537999999999999,0,1,1,0.7307999999999999,1,1,0.5263
1,1175,8,5,0,6,1.0,10,16,4,0,2,4,3.0,18339.0,20093.0,1.0,1,0,2.0,3.0,0.9127,0.25,1,1,1,0.75,7,1,1.3333
1,1373,3,1,0,9,0.0,8,130,52,0,0,0,1.0,2327.0,1860.0,3.0,4,1,1.0,1.0,1.2510999999999999,0.0,0,1,4,0.1429,3,1,0.0
1,1483,1,1,1,2,2.0,0,124,3,1,4,5,5.0,5961.0,5800.0,5.0,2,0,4.0,4.0,1.0277999999999998,0.5,0,0,2,0.625,0,0,1.0
1,1514,0,0,0,1,3.0,1,148,10,0,2,6,14.0,55642.0,77854.0,24.0,0,0,7.0,9.0,0.7146999999999999,0.5925999999999999,3,0,0,0.5185,0,0,0.4286
1,1911,3,2,0,5,1.0,3,124,2,1,4,6,7.0,14577.0,21638.0,12.0,0,0,4.0,4.0,0.6737,0.5333,2,0,2,0.46669999999999995,1,1,0.8571
1,2596,1,1,0,2,0.0,3,286,6,0,2,6,6.0,26853.0,33562.0,5.0,6,2,3.0,4.0,0.8000999999999999,0.1538,1,5,6,0.46149999999999997,5,5,1.0
1,2767,0,0,0,0,15.0,0,175,25,0,0,0,10.0,36424.0,61036.0,17.0,1,0,4.0,5.0,0.5968,0.6111,1,0,1,0.5556,0,0,0.0
1,2875,2,2,0,5,0.0,6,177,8,0,1,7,9.0,56432.0,75953.0,19.0,1,1,4.0,7.0,0.743,0.38099999999999995,3,1,2,0.4286,2,2,0.7777999999999999
1,2884,8,7,0,0,23.0,1,129,16,0,0,2,3.0,8526.0,9602.0,1.0,2,2,3.0,3.0,0.8878999999999999,0.0,0,2,2,0.75,9,2,0.6667
1,2940,1,0,1,8,1.0,6,168,7,0,1,4,6.0,19415.0,35027.0,9.0,16,0,3.0,4.0,0.5542999999999999,0.14809999999999998,3,2,18,0.22219999999999998,2,4,0.6667
1,3060,0,0,0,1,6.0,2,129,8,0,1,3,14.0,15335.0,26706.0,23.0,0,0,4.0,7.0,0.5741999999999999,0.48,3,0,0,0.5599999999999999,0,0,0.2143
1,3132,6,3,0,1,0.0,0,59,8,0,2,3,3.0,706.0,716.0,4.0,2,1,2.0,2.0,0.986,0.5,0,1,2,0.5,4,1,1.0
1,3190,2,2,0,8,1.0,9,96,3,1,1,1,1.0,698.0,630.0,3.0,2,2,1.0,1.0,1.1078999999999999,0.39999999999999997,0,2,2,0.19999999999999998,3,2,1.0
1,4032,2,2,0,2,0.0,4,248,7,0,3,7,14.0,30265.0,44493.0,28.0,0,0,7.0,9.0,0.6801999999999999,0.6333,2,0,1,0.46669999999999995,2,1,0.5
1,4408,0,0,0,8,1.0,10,124,4,0,6,9,12.0,44329.0,47349.0,22.0,0,0,8.0,9.0,0.9361999999999999,0.7082999999999999,1,0,2,0.5,0,0,0.75
1,4470,4,4,0,13,1.0,27,42,2,1,2,3,3.0,5066.0,6354.0,3.0,1,0,2.0,2.0,0.7972999999999999,0.4286,0,0,1,0.4286,4,0,1.0
1,4734,1,0,0,4,1.0,2,93,20,0,0,2,19.0,40795.0,67014.0,24.0,2,2,7.0,7.0,0.6087999999999999,0.5172,3,4,6,0.6551999999999999,4,5,0.10529999999999999
1,4860,0,0,0,3,0.0,2,446,9,0,2,9,26.0,65165.0,126906.0,33.0,0,0,5.0,7.0,0.5135,0.7837999999999999,3,0,0,0.7027,0,0,0.34619999999999995
1,5014,0,0,0,1,2.0,1,337,11,0,2,4,17.0,45492.0,44666.0,14.0,0,0,9.0,12.0,1.0185,0.31029999999999996,3,0,1,0.5861999999999999,0,0,0.23529999999999998
1,5261,1,1,0,1,1.0,0,134,3,1,3,7,16.0,35996.0,42432.0,18.0,0,0,9.0,11.0,0.8482999999999999,0.3846,3,0,0,0.6154,0,0,0.4375
1,5430,5,3,0,4,1.0,11,89,3,1,3,6,7.0,13106.0,14161.0,14.0,0,0,4.0,5.0,0.9255,0.375,2,1,2,0.4375,6,2,0.8571
1,5564,0,0,0,4,2.0,3,118,11,0,1,1,2.0,1087.0,1091.0,4.0,1,1,2.0,2.0,0.9963,0.5,0,1,1,0.3333,1,1,0.5
1,5641,0,0,0,10,1.0,3,87,3,1,2,4,11.0,16223.0,19849.0,13.0,0,0,4.0,7.0,0.8172999999999999,0.6,2,0,1,0.7333,0,1,0.3636
1,5759,4,1,1,2,0.0,5,201,22,0,0,1,1.0,0.0,0.0,2.0,1,0,0.0,0.0,0.0,0.3333,0,0,2,0.3333,1,0,1.0
1,5881,3,1,0,4,1.0,3,234,30,0,0,0,5.0,11288.0,21709.0,6.0,3,2,3.0,4.0,0.5199999999999999,0.1818,2,4,5,0.45449999999999996,5,5,0.0
1,6359,5,5,0,0,8.0,0,118,4,0,6,7,8.0,17200.0,23793.0,11.0,3,1,5.0,6.0,0.7229,0.6875,0,2,4,0.5,4,2,0.875
1,6574,0,0,0,1,1.0,0,74,35,0,0,0,4.0,4963.0,12283.0,4.0,3,2,2.0,2.0,0.40409999999999996,0.1429,2,4,7,0.5713999999999999,4,5,0.0
